Date,Open,High,Low,Close,Adj Close,Volume,Open SMA(10),High SMA(10),Low SMA(10),Close SMA(10),Adj Close SMA(10),Volume SMA(10)
2020-08-27,2148,2150,2103.25,2110.600098,2103.832275,12961252,2112.194995,2130.994995,2082.680029,2105.990064,2099.236987,14616547.700000
2020-08-28,2120,2132.899902,2106.25,2116.149902,2109.364258,12537520,2111.939990,2128.584985,2084.380029,2106.225049,2099.471216,14336983.300000
2020-08-31,2174,2174,2060.350098,2080.699951,2074.028076,28648125,2118.839990,2135.484985,2083.405029,2105.160034,2098.409619,15772112.400000
2020-09-01,2100,2122.399902,2062.399902,2087.25,2080.556885,17821397,2120.339990,2134.294971,2081.410010,2102.030029,2095.289648,16144477.500000
2020-09-02,2092,2138,2085,2128.199951,2121.375732,12437162,2115.439990,2132.694971,2077.775000,2101.695020,2094.955713,15815054.100000
2020-09-03,2128,2138.75,2103,2112.100098,2105.327393,8577634,2116.239990,2134.179980,2079.275000,2103.200024,2096.455884,15632696.300000
2020-09-04,2083.550049,2096.949951,2072.199951,2077.25,2070.589111,13141644,2112.794995,2131.674976,2078.794995,2102.740015,2095.997363,15780147.800000
2020-09-07,2084,2105.75,2044.25,2082.649902,2075.97168,10119064,2112.055005,2131.799976,2076.169995,2101.430005,2094.691553,15282155.100000
2020-09-08,2092,2121,2080.5,2107.100098,2100.343506,12643749,2110.655005,2132.769971,2076.419995,2103.930005,2097.183545,15651773.700000
2020-09-09,2085,2167.800049,2081.449951,2161.350098,2154.419434,25525961,2110.655005,2134.754980,2079.864990,2106.335010,2099.580835,15441350.800000
2020-09-10,2183.100098,2344.949951,2175.350098,2314,2306.579834,64750460,2114.165015,2154.249976,2087.075000,2126.675000,2119.855591,20620271.600000
2020-09-11,2312,2337.850098,2287.100098,2319.75,2312.311523,27445768,2133.365015,2174.744995,2105.160010,2147.035010,2140.150317,22111096.400000
2020-09-14,2325,2360,2282,2302.550049,2295.166748,20335273,2148.465015,2193.344995,2127.325000,2169.220020,2162.264185,21279811.200000
2020-09-15,2311.949951,2325.75,2288.149902,2318.850098,2311.414551,12542824,2169.660010,2213.680005,2149.900000,2192.380029,2185.349951,20751953.900000
2020-09-16,2320,2369.350098,2310.550049,2324.550049,2317.096191,15668979,2192.460010,2236.815015,2172.455005,2212.015039,2204.921997,21075135.600000
2020-09-17,2320,2333.699951,2291.850098,2298.75,2291.378906,11919927,2211.660010,2256.310010,2191.340015,2230.680029,2223.527148,21409364.900000
2020-09-18,2314.25,2319.449951,2276.550049,2305.699951,2298.306396,15264068,2234.730005,2278.560010,2211.775024,2253.525024,2246.298877,21621607.300000
2020-09-21,2300,2336,2247.350098,2255.850098,2248.616455,15519031,2256.330005,2301.585010,2232.085034,2270.845044,2263.563354,22161604.000000
2020-09-22,2277,2277,2201.550049,2211.149902,2204.05957,16056620,2274.830005,2317.185010,2244.190039,2281.250025,2273.934961,22502891.100000
2020-09-23,2260,2276.75,2205.300049,2230.800049,2223.646729,19839282,2292.330005,2328.080005,2256.575049,2288.195020,2280.857690,21934223.200000
2020-09-24,2207.899902,2226,2176.050049,2181.199951,2174.205811,13764841,2294.809985,2316.185010,2256.645044,2274.915015,2267.620288,16835661.300000
2020-09-25,2189,2212.800049,2167.300049,2201.699951,2194.639893,13095028,2282.509985,2303.680005,2244.665039,2263.110010,2255.853125,15400587.300000
2020-09-28,2227,2238,2207.050049,2216.25,2209.143311,9076248,2272.709985,2291.480005,2237.170044,2254.480005,2247.250781,14274684.800000
2020-09-29,2225,2264,2216.25,2245.050049,2237.851074,11926328,2264.014990,2285.305005,2229.980054,2247.100000,2239.894434,14213035.200000
2020-09-30,2260,2267,2225,2234.350098,2227.185303,11290667,2258.014990,2275.069995,2221.425049,2238.080005,2230.903345,13775204.000000
2020-10-01,2263.800049,2263.800049,2214,2225.25,2218.114502,9591456,2252.394995,2268.080005,2213.640039,2230.730005,2223.576904,13542356.900000
2020-10-05,2244,2249.149902,2206,2212.199951,2205.106201,8732869,2245.369995,2261.050000,2206.585034,2221.380005,2214.256885,12889237.000000
2020-10-06,2225.25,2233.899902,2201.649902,2210.350098,2203.262451,8497216,2237.894995,2250.839990,2202.015015,2216.830005,2209.721484,12187055.500000
2020-10-07,2235,2309,2220,2257.5,2250.260986,24538346,2233.694995,2254.039990,2203.860010,2221.465015,2214.341626,13035228.100000
2020-10-08,2259,2268,2222.100098,2239.25,2232.06958,9727405,2233.594995,2253.164990,2205.540015,2222.310010,2215.183911,12024040.400000
2020-10-09,2235,2253,2217.100098,2233.449951,2226.288086,8558745,2236.305005,2255.864990,2209.645020,2227.535010,2220.392139,11503430.800000
2020-10-12,2235,2255.75,2226.25,2237.050049,2229.876709,6565515,2240.905005,2260.159985,2215.540015,2231.070020,2223.915820,10850479.500000
2020-10-13,2230.600098,2285.75,2225.850098,2280.699951,2273.386719,10666190,2241.265015,2264.934985,2217.420020,2237.515015,2230.340161,11009473.700000
2020-10-14,2278.899902,2304,2268.5,2287.5,2280.164795,12341434,2246.655005,2268.934985,2222.645020,2241.760010,2234.571533,11050984.300000
2020-10-15,2290,2290,2195,2206.5,2199.424561,9246702,2249.655005,2271.234985,2219.645020,2238.975000,2231.795459,10846587.800000
2020-10-16,2215,2232.5,2172.649902,2175.800049,2168.822998,9960828,2244.775000,2268.104980,2215.510010,2234.030005,2226.866309,10883525.000000
2020-10-19,2190.050049,2228.699951,2155.149902,2176.199951,2169.22168,14398973,2239.380005,2266.059985,2210.425000,2230.430005,2223.277856,11450135.400000
2020-10-20,2179,2193,2152.25,2155.899902,2148.986816,8529573,2234.755005,2261.969995,2205.485010,2224.984985,2217.850293,11453371.100000
2020-10-21,2168,2192,2097.75,2124.600098,2117.787354,15728986,2228.055005,2250.269995,2193.260010,2211.694995,2204.602930,10572435.100000
2020-10-22,2127.399902,2132.5,2091,2106.949951,2100.193848,14215215,2214.894995,2236.719995,2180.150000,2198.464990,2191.415357,11021216.100000
2020-10-23,2106,2135,2096.399902,2113.050049,2106.274414,10809307,2201.994995,2224.919995,2168.079980,2186.425000,2179.413989,11246272.300000
2020-10-26,2101.949951,2101.949951,2018.5,2029.099976,2022.593384,17225212,2188.689990,2209.539990,2147.304980,2165.629993,2158.685657,12312242.000000
2020-10-27,2034.900024,2059.850098,2005,2034.5,2027.976196,16835005,2169.119983,2186.950000,2125.219971,2141.009998,2134.144605,12929123.500000
2020-10-28,2041.800049,2057.699951,2007.400024,2011.449951,2005,13809929,2145.409998,2162.319995,2099.109973,2113.404993,2106.628125,13075973.000000
2020-10-29,1997,2042,1991,2026.900024,2020.400513,14147418,2116.109997,2137.519995,2078.709973,2095.444995,2088.725720,13566044.600000
2020-10-30,2033.5,2065.100098,2021.800049,2054.5,2047.911987,15700946,2097.959997,2120.780005,2063.624988,2083.314990,2076.634619,14140056.400000
2020-11-02,2027,2027,1859.150024,1877.449951,1871.429688,45857806,2081.654993,2100.610010,2034.025000,2053.439990,2046.855420,17285939.700000
2020-11-03,1890,1909,1835.099976,1850.400024,1844.466553,40931170,2052.754993,2072.210010,2002.309997,2022.890002,2016.403394,20526099.400000
2020-11-04,1837,1929,1837,1913.199951,1907.065063,37003111,2019.654993,2045.910010,1976.234997,2001.749988,1995.331165,22653511.900000
2020-11-05,1954.949951,1960.949951,1932,1955,1948.731079,17170274,2002.409997,2028.755005,1960.334997,1986.554993,1980.184888,22949017.800000
2020-11-06,1990,2040,1978.150024,2029.150024,2022.643311,30770080,1990.809997,2019.255005,1948.510010,1978.164990,1971.821777,24945095.100000
2020-11-09,2062.100098,2069,2036,2050.699951,2044.124146,16539467,1986.825012,2015.960010,1950.260010,1980.324988,1973.974854,24876520.600000
2020-11-10,2077,2090,2041.199951,2084.550049,2077.865723,17045147,1991.035010,2018.975000,1953.880005,1985.329992,1978.963806,24897534.800000
2020-11-11,2089,2095,1978.099976,1997.199951,1990.795654,26178477,1995.755005,2022.705005,1950.950000,1983.904992,1977.543372,26134389.600000
2020-11-12,1981,2008.449951,1965,1980,1973.650879,18481466,1994.155005,2019.350000,1948.350000,1979.214990,1972.868408,26567794.400000
2020-11-13,1982,2036.650024,1981.75,1996.400024,1989.998291,20946864,1989.005005,2016.504993,1944.344995,1973.404992,1967.077039,27092386.200000
2020-11-17,2085,2085,1985,1993.25,1986.858398,21479385,1994.805005,2022.304993,1956.929993,1984.984997,1978.619910,24654544.100000
2020-11-18,1993.25,2006.5,1960.099976,1987.199951,1980.827759,14030652,2005.130005,2032.054993,1969.429993,1998.664990,1992.256030,21964492.300000
2020-11-19,1987.199951,2010.449951,1968.199951,1973.150024,1966.822876,12828008,2020.150000,2040.199988,1982.549988,2004.659997,1998.231812,19546982.000000
2020-11-20,1975,1983.800049,1895,1899.5,1893.409058,26522972,2022.155005,2042.484997,1978.849988,1999.109997,1992.699609,20482251.800000
2020-11-23,1951,1970,1926.25,1950.699951,1944.444824,20918665,2018.255005,2035.484997,1973.659985,1991.264990,1984.879761,19497110.300000
2020-11-24,1964,1974,1932,1964.050049,1957.752075,14277083,2008.444995,2025.984997,1963.259985,1982.600000,1976.242554,19270871.900000
2020-11-25,1980,1992.949951,1942.199951,1947.800049,1941.554199,15062376,1998.744995,2016.279993,1953.359985,1968.925000,1962.611401,19072594.800000
2020-11-26,1953.050049,1965,1930.050049,1952.599976,1946.338745,11924527,1985.150000,2003.279993,1948.554993,1964.465002,1958.165710,17647199.800000
